instanceType,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed
r6idn.8xlarge,256,32,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
x8g.8xlarge,512,32,0,,0,AWS Graviton4 Processor,2.7 GHz
r5ad.12xlarge,384,48,0,,0,AMD EPYC 7571,2.5 GHz
d3en.6xlarge,96,24,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r7i.12xlarge,384,48,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
m4.16xlarge,256,64,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.4 GHz
m7i.16xlarge,256,64,0,,0,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz
r6g.16xlarge,512,64,0,,0,AWS Graviton2 Processor,2.5 GHz
c6id.16xlarge,128,64,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
r6g.metal,512,64,0,,0,AWS Graviton2 Processor,2.5 GHz
m5dn.12xlarge,192,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r7gd.12xlarge,384,48,0,,0,AWS Graviton3 Processor,2.5 GHz
c7a.16xlarge,128,64,0,,0,AMD EPYC 9R14 Processor,Up to 3.7 GHz
m5ad.16xlarge,256,64,0,,0,AMD EPYC 7571,2.5 GHz
f1.4xlarge,244,16,0,,0,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz
x2iedn.4xlarge,512,16,0,,0,Intel Xeon Scalable (Icelake),3.5 GHz
x1e.4xlarge,488,16,0,,0,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz
x2iezn.4xlarge,512,16,0,,0,Intel Xeon Platinum 8252,4.5 GHz
m6in.12xlarge,192,48,0,,0,Intel Xeon 8375C (Ice Lake),3.5 GHz
g6.16xlarge,256,64,1,NVIDIA L4,24,AMD EPYC 7R13 Processor,2.6 GHz
i2.4xlarge,122,16,0,,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz
m7gd.16xlarge,256,64,0,,0,AWS Graviton3 Processor,2.5 GHz
m7gd.metal,256,64,0,,0,AWS Graviton3 Processor,2.5 GHz
r7g.metal,512,64,0,,0,AWS Graviton3 Processor,2.5 GHz
r7g.16xlarge,512,64,0,,0,AWS Graviton3 Processor,2.5 GHz
r5d.12xlarge,384,48,0,,0,Intel Xeon Platinum 8175,3.1 GHz
c5d.18xlarge,144,72,0,,0,Intel Xeon Platinum 8124M,3.4 GHz
g4ad.16xlarge,256,64,4,AMD Radeon Pro V520,32,AMD EPYC 7R32,2.8 GHz
cr1.8xlarge,244,32,0,,0,Intel Xeon E5-2670,unknown
r5b.12xlarge,384,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz
r5n.12xlarge,384,48,0,,0,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz
m5d.16xlarge,256,64,0,,0,Intel Xeon Platinum 8175,3.1 GHz
r5a.16xlarge,512,64,0,,0,AMD EPYC 7571,2.5 GHz
r6a.16xlarge,512,64,0,,0,AMD EPYC 7R13 Processor,3.6 GHz
